"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X205","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald283","M","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-78.0957629688209
"X206","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald284","M","J",4,8,2006,"TURBINE_CARCASS",NA,"Baerwald",216,"yes",-76.2952000860123
"X207","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald285","M","J",3,8,2006,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-76.2112855349679
"X208","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald286","M","J",17,8,2006,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-74.9516037803332
"X209","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald287","M","J",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-70.7724482506033
"X210","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald288","M","J",23,8,2007,"TURBINE_CARCASS",NA,"Baerwald",235,"yes",-69.7580668212172
"X211","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald289","M","J",23,8,2006,"TURBINE_CARCASS",NA,"Baerwald",235,"yes",-68.695517169332
"X212","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald29","F","A",18,9,2006,"TURBINE_CARCASS",NA,"Baerwald",261,"yes",-87.621646791743
"X213","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald290","M","J",17,8,2006,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-66.1156992534591
"X214","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald291","M","J",14,8,2007,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-65.7092229335743
