Species,location,date,age,sex,dD,dN,dC,dDprecip,ID,Source,month,day,year
Lasiurus cinereus,Summerview,12-Aug-07,a,f,-97.98,8.26,-24.36,-70.546262,H20,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,2-Aug-07,a,f,-91.76,9.57,-19.3,-65.900544,H21,Baerwald,8,2,2007
Lasiurus cinereus,Summerview,8-Aug-06,a,f,-90.86,6.62,-23.76,-65.228334,H22,Baerwald,8,8,2006
Lasiurus cinereus,Summerview,22-Aug-06,a,f,-88.65,8.47,-21.94,-63.577685,H23,Baerwald,8,22,2006
Lasiurus cinereus,Summerview,5-Aug-06,a,f,-88.49,8.5,-23.18,-63.458181,H24,Baerwald,8,5,2006
Lasiurus cinereus,Summerview,29-Jul-06,a,f,-87.41,8.77,-22.61,-62.651529,H25,Baerwald,7,29,2006
Lasiurus cinereus,Summerview,23-Aug-07,a,f,-87.14,9.16,-23.7,-62.449866,H26,Baerwald,8,23,2007
Lasiurus cinereus,Summerview,17-Aug-07,a,f,-86.73,8.28,-22.12,-62.143637,H27,Baerwald,8,17,2007
Lasiurus cinereus,Summerview,5-Aug-06,a,f,-86.14,8.17,-23.69,-61.702966,H28,Baerwald,8,5,2006
Lasiurus cinereus,Summerview,3-Aug-06,a,f,-84.68,7.64,-22.87,-60.612492,H29,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,28-Jul-06,a,f,-84.03,8.8,-22.93,-60.127007,H30,Baerwald,7,28,2006
Lasiurus cinereus,Summerview,14-Aug-06,a,f,-82.48,6.53,-24.18,-58.969312,H31,Baerwald,8,14,2006
Lasiurus cinereus,Summerview,28-Jul-06,a,f,-80.76,8.92,-20.52,-57.684644,H32,Baerwald,7,28,2006
Lasiurus cinereus,Summerview,3-Aug-06,a,f,-79.57,8.03,-22.78,-56.795833,H33,Baerwald,8,3,2006
Lasiurus cinereus,Summerview,17-Aug-06,a,f,-69.61,7.85,-23.06,-49.356709,H34,Baerwald,8,17,2006
Lasiurus cinereus,Summerview,15-Aug-06,a,m,-160.39,6.91,-24.59,-117.160291,H35,Baerwald,8,15,2006
Lasiurus cinereus,Summerview,8-Sep-06,a,m,-151.01,6.22,-23.55,-110.154369,H36,Baerwald,9,8,2006
Lasiurus cinereus,Summerview,13-Aug-06,a,m,-150.03,8.72,-24.75,-109.422407,H37,Baerwald,8,13,2006
Lasiurus cinereus,Summerview,21-Jul-06,a,m,-148.86,8.44,-23.16,-108.548534,H38,Baerwald,7,21,2006
Lasiurus cinereus,Summerview,26-Jul-07,a,m,-148.48,9.12,-22.22,-108.264712,H39,Baerwald,7,26,2007
Lasiurus cinereus,Summerview,27-Jul-06,a,m,-148.07,8.77,-23.68,-107.958483,H40,Baerwald,7,27,2006
Lasiurus cinereus,Summerview,3-Aug-07,a,m,-145.92,8.92,-24.03,-106.352648,H41,Baerwald,8,3,2007
Lasiurus cinereus,Summerview,18-Aug-07,a,m,-144.35,8.53,-25.05,-105.180015,H42,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,18-Aug-07,a,m,-135.08,8.76,-25.34,-98.256252,H43,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,16-Aug-07,a,m,-133.01,6.17,-25.44,-96.710169,H44,Baerwald,8,16,2007
Lasiurus cinereus,Summerview,16-Aug-07,a,m,-132.83,7.64,-24.95,-96.575727,H45,Baerwald,8,16,2007
Lasiurus cinereus,Summerview,22-Aug-06,a,m,-129.43,8.47,-22.3,-94.036267,H46,Baerwald,8,22,2006
Lasiurus cinereus,Summerview,23-Aug-07,a,m,-128.73,7.18,-24.82,-93.513437,H47,Baerwald,8,23,2007
Lasiurus cinereus,Summerview,12-Aug-07,a,m,-126.69,8.98,-24.42,-91.989761,H48,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,27-Jul-06,a,m,-125.5,8.36,-23.41,-91.10095,H49,Baerwald,7,27,2006
Lasiurus cinereus,Summerview,27-Jul-07,a,m,-125.33,8.82,-23.93,-90.973977,H50,Baerwald,7,27,2007
Lasiurus cinereus,Summerview,9-Sep-06,a,m,-122.12,8.28,-23.2,-88.576428,H51,Baerwald,9,9,2006
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-119.68,6.16,-23.41,-86.753992,H52,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,12-Aug-07,a,m,-119.66,9.27,-21.12,-86.739054,H53,Baerwald,8,12,2007
Lasiurus cinereus,Summerview,31-Aug-07,a,m,-119.57,7.17,-24.33,-86.671833,H54,Baerwald,8,31,2007
Lasiurus cinereus,Summerview,17-Aug-07,a,m,-119.31,7.74,-23.66,-86.477639,H55,Baerwald,8,17,2007
Lasiurus cinereus,Summerview,29-Jul-06,a,m,-117.68,8.31,-23.27,-85.260192,H56,Baerwald,7,29,2006
Lasiurus cinereus,Summerview,23-Jul-06,a,m,-116.54,8.38,-22.79,-84.408726,H57,Baerwald,7,23,2006
Lasiurus cinereus,Summerview,12-Jul-06,a,m,-113.76,9.59,-23.55,-82.332344,H58,Baerwald,7,12,2006
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-113.28,7.43,-23.54,-81.973832,H59,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,16-Aug-07,a,m,-112.78,8.68,-24.32,-81.600382,H60,Baerwald,8,16,2007
Lasiurus cinereus,Summerview,30-Jul-07,a,m,-112.47,8.44,-23.4,-81.368843,H61,Baerwald,7,30,2007
Lasiurus cinereus,Summerview,2-Sep-07,a,m,-111.66,7.79,-24.56,-80.763854,H62,Baerwald,9,2,2007
Lasiurus cinereus,Summerview,31-Aug-07,a,m,-111.49,8.93,-23.17,-80.636881,H63,Baerwald,8,31,2007
Lasiurus cinereus,Summerview,8-Sep-06,a,m,-111.08,8.33,-22.1,-80.330652,H64,Baerwald,9,8,2006
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-110.67,8.35,-23.22,-80.024423,H65,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,24-Jul-06,a,m,-110.47,8.25,-22.95,-79.875043,H66,Baerwald,7,24,2006
Lasiurus cinereus,Summerview,11-Aug-06,a,m,-108.28,7.94,-25.5,-78.239332,H67,Baerwald,8,11,2006
Lasiurus cinereus,Summerview,26-Jul-07,a,m,-106.62,8.21,-23.65,-76.999478,H68,Baerwald,7,26,2007
Lasiurus cinereus,Summerview,27-Jul-06,a,m,-105.43,7.37,-24.09,-76.110667,H69,Baerwald,7,27,2006
Lasiurus cinereus,Summerview,18-Aug-07,a,m,-101.94,5.73,-23.08,-73.503986,H70,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-101.18,8.4,-22.37,-72.936342,H71,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,16-Aug-06,a,m,-99.64,9.42,-24,-71.786116,H72,Baerwald,8,16,2006
Lasiurus cinereus,Summerview,9-Aug-06,a,m,-99.37,7.89,-22.44,-71.584453,H73,Baerwald,8,9,2006
Lasiurus cinereus,Summerview,25-Aug-07,a,m,-99.34,8.63,-22.81,-71.562046,H74,Baerwald,8,25,2007
Lasiurus cinereus,Summerview,7-Aug-06,a,m,-96.18,8.81,-25.1,-69.201842,H75,Baerwald,8,7,2006
Lasiurus cinereus,Summerview,19-Aug-07,a,m,-96.06,8.43,-22.64,-69.112214,H76,Baerwald,8,19,2007
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-95,5.76,-23.37,-68.3205,H77,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,18-Aug-07,a,m,-93.96,8.4,-23.53,-67.543724,H78,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,18-Aug-07,a,m,-93.46,8.42,-24.23,-67.170274,H79,Baerwald,8,18,2007
Lasiurus cinereus,Summerview,24-Aug-06,a,m,-92.86,7.51,-23.33,-66.722134,H80,Baerwald,8,24,2006
Lasiurus cinereus,Summerview,20-Aug-06,a,m,-91.27,8.03,-23.52,-65.534563,H81,Baerwald,8,20,2006
Lasiurus cinereus,Summerview,4-Aug-06,a,m,-90.15,8.54,-23.41,-64.698035,H82,Baerwald,8,4,2006
Lasiurus cinereus,Summerview,14-Aug-07,a,m,-88.79,7.57,-23.94,-63.682251,H83,Baerwald,8,14,2007
Lasiurus cinereus,Summerview,26-Jul-06,a,m,-88.02,8.11,-22.03,-63.107138,H84,Baerwald,7,26,2006
Lasiurus cinereus,Summerview,25-Aug-07,a,m,-87.88,8.07,-22.96,-63.002572,H85,Baerwald,8,25,2007
Lasiurus cinereus,Summerview,2-Aug-06,a,m,-87.73,6.47,-23.94,-62.890537,H86,Baerwald,8,2,2006
Lasiurus cinereus,Summerview,31-Jul-07,a,m,-87.62,7.39,-23.48,-62.808378,H87,Baerwald,7,31,2007
Lasiurus cinereus,Summerview,21-Jul-06,a,m,-86.85,8.63,-22.37,-62.233265,H88,Baerwald,7,21,2006
Lasiurus cinereus,Summerview,31-Jul-06,a,m,-86.65,8.18,-23.28,-62.083885,H89,Baerwald,7,31,2006
Lasiurus cinereus,Summerview,8-Aug-06,a,m,-85.3,8.65,-22.22,-61.07557,H90,Baerwald,8,8,2006
Lasiurus cinereus,Summerview,5-Aug-07,a,m,-81.79,8.6,-24.65,-58.453951,H91,Baerwald,8,5,2007
Lasiurus cinereus,Summerview,25-Jul-06,a,m,-81.59,8.87,-23.23,-58.304571,H92,Baerwald,7,25,2006
Lasiurus cinereus,Summerview,2-Aug-06,a,m,-80.93,7.83,-22.99,-57.811617,H93,Baerwald,8,2,2006
