Provider,Site,Site ID,Box,Placement,use this to sort,Species,Year,ID_CP,Age,Sex,RC,dD,Source
WEST,"Backbone Mountain, MD",BKBN_MD,4,E17,398,ERBA,2011,082111_ERBA_T41_2,A,M,U,-18.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E11,392,ERBA,2011,081311_ERBA_T46_1,A,M,U,-18.14,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A20,320,ERBA,2010,081610_ERBA_T90_3,A,M,U,-17.92,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D12,272,ERBA,2011,082611_ERBA_T20_1,A,M,U,-17.58,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D7,368,ERBA,2011,082711_ERBA_T44_3,A,M,U,-16.74,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D11,372,ERBA,2011,073111_ERBA_TALT1_1,A,M,U,-16.73,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E13,394,ERBA,2011,080911_ERBA_T24_1,A,F,U,-16.49,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D9,269,ERBA,2011,090411_ERBA_T58_1,A,M,U,-16.08,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B8,228,ERBA,2011,062211_ERBA_T42_1,A,F,U,-16.01,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E15,295,ERBA,2010,081110_ERBA_T5_1,A,F,U,-16,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E1,281,ERBA,2011,100711_ERBA_T44_1,A,M,U,-16,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D11,271,ERBA,2011,082711_ERBA_T212_1,A,M,U,-15.69,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D13,374,ERBA,2011,072511_ERBA_T43_1,A,F,U,-15.22,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D15,275,ERBA,2011,063011_ERBA_T41_1,A,M,U,-14.35,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E3,283,ERBA,2011,092511_ERBA_T44_1,A,M,U,-13.68,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D8,268,ERBA,2011,082711_ERBA_T44_2(a),A,M,U,-10.93,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E13,293,ERBA,2011,080711_ERBA_T228_1,A,M,U,-8.82,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A9,109,HOBA,2011,072511_HOBA_T36_1,A,F,U,-153.88,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D4,365,HOBA,2011,052811_HOBA_T38_1,A,U,U,-122.73,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A3,3,HOBA,2011,052811_HOBA_T45_1,A,M,U,-106.36,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C18,58,HOBA,2011,081811_HOBA_T45_2,A,F,U,-104.25,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D6,66,HOBA,2011,081811_HOBA_T22.5_1,A,F,U,-94.61,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C11,#REF!,HOBA,2003,052503_HOBA_1_T26,U,U,U,-94.36,Pylant
PA Game Co.,Pennsylvania,PAGC_SW,2,D9,169,HOBA,2011,SW19-06-10,A,F,NR,-94.12,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A10,310,HOBA,2011,082811_HOBA_T97_1,U,U,U,-93.53,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B14,334,HOBA,2003,083103_HOBA_14_T3,U,U,U,-90.11,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A7,7,HOBA,2011,070911_HOBA_T27_1,A,M,U,-87.59,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A11,11,HOBA,2011,070611_HOBA_T34_1,A,M,U,-86.04,Pylant
PA Game Co.,Pennsylvania,PAGC_SW,2,D12,172,HOBA,2011,SW19-23-13,A,F,NR,-84.77,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A17,17,HOBA,2011,061411_HOBA_T40_1,A,M,U,-83.22,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B15,135,HOBA,2011,SCW1-50-35,A,M,NR,-82.46,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D18,78,HOBA,2011,082611_HOBA_T44_1,A,F,U,-81.15,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B18,38,HOBA,2011,061211_HOBA_T34_1,A,M,U,-79.99,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E4,184,HOBA,2011,101111_HOBA_T20_1,U,U,U,-79.96,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A15,315,HOBA,2010,092410_HOBA_a,U,U,U,-79.76,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C20,160,HOBA,2011,SCW3-13-56,A,M,NR,-79.62,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B2,22,HOBA,2011,062211_HOBA_T45_1,A,U,U,-79.49,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,D2,363,HOBA,2003,HOBA_6,U,U,U,-79.12,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B10,30,HOBA,2011,070711_HOBA_T36_1,A,M,U,-78.93,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E17,197,HOBA,2009,050709_LACI_T242_1,U,U,U,-78.83,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A15,115,HOBA,2011,092911_HOBA_TALT2_5,A,M,U,-78.63,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C6,#REF!,HOBA,2003,091203_HOBA_2_T5,U,U,U,-78.21,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B8,28,HOBA,2011,061211_HOBA_T45_3,A,M,U,-77.98,Pylant
PA Game Co.,Pennsylvania,PAGC_SW,2,D11,171,HOBA,2011,SW19-06-12,A,F,NR,-77.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D15,75,HOBA,2011,090211_HOBA_T42_1,A,F,U,-76.76,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A6,6,HOBA,2011,062211_HOBA_T22.5_1,A,M,U,-76.17,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C9,49,HOBA,2011,082411_HOBA_T22_1,A,F,U,-76.05,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,E12,92,HOBA,2011,081011_HOBA_T44_1,A,M,U,-75.9,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,A10,10,HOBA,2011,070811_HOBA_T23_1,A,M,U,-75.53,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D5,65,HOBA,2011,081911_HOBA_T44_1,A,F,U,-75.27,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B19,39,HOBA,2011,082611_HOBA_T37_1,A,M,U,-75.18,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A7,307,HOBA,2011,080711_HOBA_T46_1,U,U,U,-75.09,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B7,127,HOBA,2011,SCW3-2-33,A,M,NR,-74.96,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C20,361,HOBA,2003,HOBA_81,U,U,U,-74.4,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B17,337,HOBA,2003,101003_HOBA_3_T26,U,U,U,-74.22,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,C18,#REF!,HOBA,2003,HOBA_14,U,U,U,-73.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A6,106,HOBA,2011,081511_HOBA_T34_1,A,M,U,-73.88,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E9,189,HOBA,2010,082710_HOBA_T41_1,U,U,U,-72.97,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,D15,175,HOBA,2011,090511_HOBA_T216_1,U,U,U,-72.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A1,101,HOBA,2011,073111_HOBA_T42_1,A,M,U,-72.94,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C15,55,HOBA,2011,072711_HOBA_T25_1,A,M,U,-72.94,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E19,199,HOBA,2009,080109_HOBA_T85_1,U,U,U,-72.92,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,D2,62,HOBA,2011,081711_HOBA_T39_1,A,F,U,-72.77,Pylant
WV DNR,Mt Storm,MTSTORM_WV,2,E16,196,HOBA,2009,041909_LACI_T53_1,U,U,U,-71.96,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C16,56,HOBA,2011,072811_HOBA_T43_1,A,M,U,-71.78,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,2,A3,103,HOBA,2011,080911_HOBA_T45_1,A,M,U,-71.61,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B20,40,HOBA,2011,072311_HOBA_T25_1,A,F,U,-71.28,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,B16,36,HOBA,2011,061611_HOBA_T34_1,A,M,U,-71.1,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B14,134,HOBA,2011,SCW1-09-34,A,M,NR,-71,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,C16,156,HOBA,2011,SCW1-01-57,A,M,NR,-70.85,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A12,312,HOBA,2010,062210_HOBA_b,U,U,U,-70.81,Pylant
PA Game Co.,Pennsylvania,PAGC_SC,2,B13,133,HOBA,2011,SCW1-54-33,A,M,NR,-70.71,Pylant
WV DNR,Mountaineer,MOUNTAINEER_WV,4,B20,340,HOBA,2003,083103_HOBA_17_T6,U,U,U,-70.27,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,1,C6,46,HOBA,2011,090311_HOBA_T39_1,A,M,U,-70.24,Pylant
