AL CODE,Working_ID_Code,Spp,Sex,Age,RC,BatNotes,Collected_Date,Day,Month,Year,Migratory Status,Sampling Method,Source_sampling Agency,Source_name,Source_St,Authorship Considerations?,Verbatim Coords (N),Verbatim Coords (W),Coords_N,Coords_W,Source_County,Source_Region,Source Site,ADDRESS,Other_notes,Even more notes,Data source,Arrival Data / At AL?,Adequate Bat Info?,Adequate Date Info?,Adequate Location info,Hair? (Expected),Tissue? (Expected),In Cortney's Thesis?,In Cortney's Data Sheets?,Hair Sample Location,dD.Values,OurLabID,
2184,111071,LABO,F,,,,7/31/00,31,7,1900,Migrating,Turbine,,Cortney Pylant,NY,,-75.688,42.967,42.97,-75.69,Madison County,,Peterboro,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-63.02,Other,
2185,208138,LABO,F,,,,7/31/15,31,7,1915,Migrating,Turbine,,Cortney Pylant,AL,,-86.58,32.184,32.18,-86.58,,,Hayneville,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-14.50,Other,
2186,203166,LABO,U,,,,8/1/13,1,8,1913,Migrating,Turbine,,Cortney Pylant,AL,,-88.043,30.694,30.69,-88.04,,,Mobile,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-9.15,Other,
2187,297191,LABO,M ,,,,8/2/07,2,8,1907,Migrating,Turbine,,Cortney Pylant,KS,,-95.23,38.971,38.97,-95.23,Douglas County,,Lawrence,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-39.67,Other,
2188,363726,LABO,M ,,,,8/2/62,2,8,1962,Migrating,Turbine,,Cortney Pylant,Indiana,,-86.61,41.16,41.16,-86.61,Pulaski County,,Winamac Fish and Game Area,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-33.56,Other,
2189,234847,LABO,M ,,,,8/3/20,3,8,1920,Migrating,Turbine,,Cortney Pylant,WI,,-90.563,42.59,42.59,-90.56,,,"Potosi, 10 Mi SSE",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-36.05,Other,
2190,293376,LABO,M ,,,,8/3/39,3,8,1939,Migrating,Turbine,,Cortney Pylant,VA,,-80.266,36.641,36.64,-80.27,,,Stuart,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-22.94,Other,
2191,208139,LABO,F,,,,8/3/15,3,8,1915,Migrating,Turbine,,Cortney Pylant,AL,,-86.58,32.184,32.18,-86.58,,,Hayneville,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-7.27,Other,
2192,234848,LABO,F,,,,8/4/20,4,8,1920,Migrating,Turbine,,Cortney Pylant,WI,,-90.563,42.59,42.59,-90.56,,,"Potosi, 10 Mi SSE",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-35.19,Other,
2193,147250,LABO,F,,,,8/5/01,5,8,1901,Summering,Turbine,,Cortney Pylant,WI,,-88.644,42.633,42.63,-88.64,,,Delavan,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-46.53,Other,
2194,293377,LABO,M ,,,,8/5/39,5,8,1939,Summering,Turbine,,Cortney Pylant,VA,,-80.277,36.79,36.79,-80.28,Patrick County,,Woolwine,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-23.64,Other,
2195,254345,LABO,M ,,,,8/6/01,6,8,1901,Summering,Turbine,,Cortney Pylant,GA,,-84.435,33.707,33.71,-84.44,,,Fort Mcpherson,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-14.59,Other,
